,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
1/21/22,1/28/22,7,STAY (with Justin Bieber),The Kid LAROI,5251402,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
1/21/22,1/28/22,8,abcdefu,GAYLE,4711958,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
1/21/22,1/28/22,9,I Love You So,The Walters,4599686,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
1/21/22,1/28/22,10,Easy On Me,Adele,4399755,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
1/21/22,1/28/22,11,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4285866,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
1/21/22,1/28/22,12,Need to Know,Doja Cat,4216644,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
1/21/22,1/28/22,13,The Family Madrigal,Stephanie Beatriz,4189396,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
1/21/22,1/28/22,14,Lost,Frank Ocean,4170232,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
1/21/22,1/28/22,15,Light Switch,Charlie Puth,4074590,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
1/21/22,1/28/22,16,Fingers Crossed,Lauren Spencer-Smith,3993008,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
1/21/22,1/28/22,17,Knife Talk (with 21 Savage ft. Project Pat),Drake,3974420,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
1/21/22,1/28/22,18,What Else Can I Do?,Diane Guerrero,3939391,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
1/21/22,1/28/22,19,Cold Heart - PNAU Remix,Elton John,3868084,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
1/21/22,1/28/22,20,Dark Red,Steve Lacy,3755639,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
1/21/22,1/28/22,21,good 4 u,Olivia Rodrigo,3712373,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
1/21/22,1/28/22,22,Kiss Me More (feat. SZA),Doja Cat,3663261,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
1/21/22,1/28/22,23,I Hate U,SZA,3517265,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
1/21/22,1/28/22,24,family ties (with Kendrick Lamar),Baby Keem,3509039,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
1/21/22,1/28/22,25,Woman,Doja Cat,3438784,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
1/21/22,1/28/22,26,Sacrifice,The Weeknd,3351338,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
1/21/22,1/28/22,27,Eazy,The Game,3326222,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
1/21/22,1/28/22,28,Sweater Weather,The Neighbourhood,3289122,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
1/21/22,1/28/22,29,Shivers,Ed Sheeran,3286898,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
1/21/22,1/28/22,30,Broadway Girls (feat. Morgan Wallen),Lil Durk,3220382,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
1/21/22,1/28/22,31,Waiting On A Miracle,Stephanie Beatriz,3135233,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
1/21/22,1/28/22,32,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,3098325,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
1/21/22,1/28/22,33,Dos Oruguitas,Sebastian Yatra,3000896,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
1/21/22,1/28/22,34,Meet Me At Our Spot,THE ANXIETY,2952419,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
1/21/22,1/28/22,35,Smokin Out The Window,Bruno Mars,2921769,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
1/21/22,1/28/22,36,Sky,Playboi Carti,2910782,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
1/21/22,1/28/22,37,P power (feat. Drake),Gunna,2895467,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
1/21/22,1/28/22,38,One Right Now (with The Weeknd),Post Malone,2786903,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
1/21/22,1/28/22,39,Ghost,Justin Bieber,2779910,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
1/21/22,1/28/22,40,RAPSTAR,Polo G,2748546,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
1/21/22,1/28/22,41,Out of Time,The Weeknd,2741784,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
1/21/22,1/28/22,42,505,Arctic Monkeys,2729930,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
1/21/22,1/28/22,43,Happier Than Ever,Billie Eilish,2722335,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
1/21/22,1/28/22,44,Way 2 Sexy (with Future & Young Thug),Drake,2696938,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
1/21/22,1/28/22,45,By Your Side,Rod Wave,2679043,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
1/21/22,1/28/22,46,Is There Someone Else?,The Weeknd,2676498,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
1/21/22,1/28/22,47,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2666952,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
1/21/22,1/28/22,48,Softcore,The Neighbourhood,2607628,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
1/21/22,1/28/22,49,No Role Modelz,J. Cole,2591771,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
1/21/22,1/28/22,50,traitor,Olivia Rodrigo,2572090,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
1/21/22,1/28/22,51,Hrs and Hrs,Muni Long,2560529,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
1/21/22,1/28/22,52,THATS WHAT I WANT,Lil Nas X,2558100,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
1/21/22,1/28/22,53,Bad Habits,Ed Sheeran,2540124,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
1/21/22,1/28/22,54,You Right,Doja Cat,2472941,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
1/21/22,1/28/22,55,20 Min,Lil Uzi Vert,2445188,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
1/21/22,1/28/22,56,Freaks,Surf Curse,2435987,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
1/21/22,1/28/22,57,MONTERO (Call Me By Your Name),Lil Nas X,2422817,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
1/21/22,1/28/22,58,Pepas,Farruko,2418576,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
1/21/22,1/28/22,59,Wants and Needs (feat. Lil Baby),Drake,2401235,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
1/21/22,1/28/22,60,Flossin (Bonus),YoungBoy Never Broke Again,2400474,https://open.spotify.com/track/7qIDHVQsrNSk9qjYRsDzQI
1/21/22,1/28/22,61,Oh My God,Adele,2398311,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
1/21/22,1/28/22,62,Levitating (feat. DaBaby),Dua Lipa,2378612,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
1/21/22,1/28/22,63,2055,Sleepy Hallow,2375158,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
1/21/22,1/28/22,64,Infinity,Jaymes Young,2366768,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
1/21/22,1/28/22,65,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2351655,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
1/21/22,1/28/22,66,YKWIM?,Yot Club,2348810,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
1/21/22,1/28/22,67,Buy Dirt,Jordan Davis,2343989,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
1/21/22,1/28/22,68,Space Song,Beach House,2338039,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
1/21/22,1/28/22,69,Watercolor Eyes - From “Euphoria” An HBO Original Series,Lana Del Rey,2293759,https://open.spotify.com/track/1G1R0XgChe18Zr1o6tlmN6
1/21/22,1/28/22,70,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2286317,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
1/21/22,1/28/22,71,Blinding Lights,The Weeknd,2277308,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
1/21/22,1/28/22,72,All Of You,Stephanie Beatriz,2270923,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
1/21/22,1/28/22,73,Alien Blues,Vundabar,2240329,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
1/21/22,1/28/22,74,Toxic,BoyWithUke,2233531,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
1/21/22,1/28/22,75,thought i was playing,Gunna,2230992,https://open.spotify.com/track/5dqeWGM9sqLd5bZhyBikrZ
1/21/22,1/28/22,76,thought it was (feat. Machine Gun Kelly & Travis Barker),iann dior,2224839,https://open.spotify.com/track/36uNbyvWCUwSk3AnpQmu2I
1/21/22,1/28/22,77,The Spins,Mac Miller,2209257,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
1/21/22,1/28/22,78,Good Days,SZA,2202754,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
1/21/22,1/28/22,79,deja vu,Olivia Rodrigo,2196094,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
1/21/22,1/28/22,80,Daddy Issues,The Neighbourhood,2190493,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
1/21/22,1/28/22,81,drivers license,Olivia Rodrigo,2183921,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
1/21/22,1/28/22,82,Cold December,Rod Wave,2172855,https://open.spotify.com/track/6UAy9xYeTWjZB7h05p83e9
1/21/22,1/28/22,83,Get Into It (Yuh),Doja Cat,2160392,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
1/21/22,1/28/22,84,Lucid Dreams,Juice WRLD,2152793,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
1/21/22,1/28/22,85,See You Again (feat. Kali Uchis),"Tyler, The Creator",2119255,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
1/21/22,1/28/22,86,All Girls Are The Same,Juice WRLD,2107049,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
1/21/22,1/28/22,87,Mr. Rager,Kid Cudi,2093273,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
1/21/22,1/28/22,88,Jugaste y Sufrí,Eslabon Armado,2077675,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
1/21/22,1/28/22,89,Martin & Gina,Polo G,2075655,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
1/21/22,1/28/22,90,Big Energy,Latto,2070750,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
1/21/22,1/28/22,91,Pursuit Of Happiness (Nightmare),Kid Cudi,2061661,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
1/21/22,1/28/22,92,NEW MAGIC WAND,"Tyler, The Creator",2054743,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
1/21/22,1/28/22,93,I AM WOMAN,Emmy Meli,2042116,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
1/21/22,1/28/22,94,love nwantiti (ah ah ah),CKay,2029979,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
1/21/22,1/28/22,95,Tell Em,Cochise,2029600,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
1/21/22,1/28/22,96,Do It To It,ACRAZE,1982714,https://open.spotify.com/track/20on25jryn53hWghthWWW3
1/21/22,1/28/22,97,Notion,The Rare Occasions,1982026,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
1/21/22,1/28/22,98,Money Trees,Kendrick Lamar,1972039,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
1/21/22,1/28/22,99,SLOW DANCING IN THE DARK,Joji,1971167,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
1/21/22,1/28/22,100,Gasoline,The Weeknd,1963546,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
1/21/22,1/28/22,101,Miss The Rage (feat. Playboi Carti),Trippie Redd,1958014,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
1/21/22,1/28/22,102,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1951126,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
1/21/22,1/28/22,103,Die For You,The Weeknd,1947411,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
1/21/22,1/28/22,104,Fair Trade (with Travis Scott),Drake,1943915,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
1/21/22,1/28/22,105,Beggin',Måneskin,1914771,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
1/21/22,1/28/22,106,Mr. Brightside,The Killers,1913403,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
1/21/22,1/28/22,107,Surround Sound (feat. 21 Savage & Baby Tate),JID,1908357,https://open.spotify.com/track/0cp97b37sFNsdIbQH6po3T
1/21/22,1/28/22,108,Yonaguni,Bad Bunny,1903753,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
1/21/22,1/28/22,109,Bad Man (Smooth Criminal),Polo G,1899175,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
1/21/22,1/28/22,110,Work Out,J. Cole,1891771,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
1/21/22,1/28/22,111,Streets,Doja Cat,1885463,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
1/21/22,1/28/22,112,Already Dead,Juice WRLD,1860704,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
1/21/22,1/28/22,113,Praise God,Kanye West,1851632,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
1/21/22,1/28/22,114,Looking Out for You,Joy Again,1834872,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
1/21/22,1/28/22,115,Less Than Zero,The Weeknd,1828905,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
1/21/22,1/28/22,116,Ain't Shit,Doja Cat,1820790,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
1/21/22,1/28/22,117,Man in the Mirror,A Boogie Wit da Hoodie,1815259,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
1/21/22,1/28/22,118,My Universe,Coldplay,1806922,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
1/21/22,1/28/22,119,For Tonight,Giveon,1802361,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
1/21/22,1/28/22,120,Shoota (feat. Lil Uzi Vert),Playboi Carti,1800423,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
1/21/22,1/28/22,121,Star Shopping,Lil Peep,1791171,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
1/21/22,1/28/22,122,Dandelions,Ruth B.,1781812,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
1/21/22,1/28/22,123,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1780185,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
1/21/22,1/28/22,124,Love & War,Kodak Black,1771339,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
1/21/22,1/28/22,125,we fell in love in october,girl in red,1770842,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
1/21/22,1/28/22,126,Redbone,Childish Gambino,1768999,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
1/21/22,1/28/22,127,Heather,Conan Gray,1756405,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
1/21/22,1/28/22,128,XO Tour Llif3,Lil Uzi Vert,1748752,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
1/21/22,1/28/22,129,Monëy so big,Yeat,1747146,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
1/21/22,1/28/22,130,telepatía,Kali Uchis,1745789,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
1/21/22,1/28/22,131,Jocelyn Flores,XXXTENTACION,1743851,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
1/21/22,1/28/22,132,Me or Sum (feat. Future & Lil Baby),Nardo Wick,1740935,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
1/21/22,1/28/22,133,Save Your Tears,The Weeknd,1737441,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
1/21/22,1/28/22,134,Circles,Post Malone,1737398,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
1/21/22,1/28/22,135,DÁKITI,Bad Bunny,1735404,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
1/21/22,1/28/22,136,"Colombia, Mi Encanto",Carlos Vives,1735048,https://open.spotify.com/track/2Q5q1q01KOdHt5fM00WUJ8
1/21/22,1/28/22,137,Fancy Like,Walker Hayes,1730098,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
1/21/22,1/28/22,138,The Hills,The Weeknd,1724418,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
1/21/22,1/28/22,139,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,1719280,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
1/21/22,1/28/22,140,my ex's best friend (with blackbear),Machine Gun Kelly,1714330,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
1/21/22,1/28/22,141,Robbery,Juice WRLD,1707728,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
1/21/22,1/28/22,142,Come & Go (with Marshmello),Juice WRLD,1704894,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
1/21/22,1/28/22,143,All For Us - from the HBO Original Series Euphoria,Labrinth,1701862,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
1/21/22,1/28/22,144,Leave The Door Open,Bruno Mars,1694701,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
1/21/22,1/28/22,145,favorite crime,Olivia Rodrigo,1691184,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
1/21/22,1/28/22,146,Heartless,Kanye West,1685260,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
1/21/22,1/28/22,147,Dreams - 2004 Remaster,Fleetwood Mac,1684198,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
1/21/22,1/28/22,148,LOVE. FEAT. ZACARI.,Kendrick Lamar,1674066,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
1/21/22,1/28/22,149,Love Sosa,Chief Keef,1671632,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
1/21/22,1/28/22,150,Not Allowed,TV Girl,1671571,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
1/21/22,1/28/22,151,Washing Machine Heart,Mitski,1664395,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
1/21/22,1/28/22,152,Electric Love,BØRNS,1664074,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
1/21/22,1/28/22,153,How Do I Make You Love Me?,The Weeknd,1662353,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
1/21/22,1/28/22,154,Whiskey Glasses,Morgan Wallen,1659005,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
1/21/22,1/28/22,155,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1656810,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
1/21/22,1/28/22,156,goosebumps,Travis Scott,1646591,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
1/21/22,1/28/22,157,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1645374,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
1/21/22,1/28/22,158,Wasted On You,Morgan Wallen,1644372,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
1/21/22,1/28/22,159,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1640560,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
1/21/22,1/28/22,160,Heartbreak Anniversary,Giveon,1639302,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
1/21/22,1/28/22,161,Wishing Well,Juice WRLD,1633874,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
1/21/22,1/28/22,162,She Knows (feat. Amber Coffman & Cults),J. Cole,1630042,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
1/21/22,1/28/22,163,Yes Indeed,Lil Baby,1615509,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
1/21/22,1/28/22,164,Fish Scale,YoungBoy Never Broke Again,1611503,https://open.spotify.com/track/116HT0QgVhzSxydCwRgpTY
1/21/22,1/28/22,165,No Idea,Don Toliver,1609859,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
1/21/22,1/28/22,166,The Real Slim Shady,Eminem,1608098,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
1/21/22,1/28/22,167,Lost in the Fire (feat. The Weeknd),Gesaffelstein,1605008,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
1/21/22,1/28/22,168,It'll Be Okay,Shawn Mendes,1596802,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
1/21/22,1/28/22,169,Mood (feat. iann dior),24kGoldn,1596793,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
1/21/22,1/28/22,170,1 Scale (feat. G Herbo),Young Dolph,1593755,https://open.spotify.com/track/5gmkw2031VVIboYqPIjSWB
1/21/22,1/28/22,171,HUMBLE.,Kendrick Lamar,1592672,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
1/21/22,1/28/22,172,Kilby Girl,The Backseat Lovers,1591895,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH
1/21/22,1/28/22,173,Burn,Juice WRLD,1590064,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
1/21/22,1/28/22,174,Sand In My Boots,Morgan Wallen,1588874,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
1/21/22,1/28/22,175,Bound 2,Kanye West,1584653,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
1/21/22,1/28/22,176,Cigarette Daydreams,Cage The Elephant,1583488,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
1/21/22,1/28/22,177,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,1581477,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
1/21/22,1/28/22,178,Smells Like Teen Spirit - Remastered,Nirvana,1577169,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
1/21/22,1/28/22,179,No Love (with SZA),Summer Walker,1575417,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
1/21/22,1/28/22,180,Fuck Love (feat. Trippie Redd),XXXTENTACION,1574077,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
1/21/22,1/28/22,181,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1565219,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
1/21/22,1/28/22,182,MIDDLE CHILD,J. Cole,1563824,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
1/21/22,1/28/22,183,Classic,MKTO,1561037,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
1/21/22,1/28/22,184,Watermelon Sugar,Harry Styles,1560365,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
1/21/22,1/28/22,185,"Here We Go… Again (feat. Tyler, the Creator)",The Weeknd,1559726,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
1/21/22,1/28/22,186,Life Goes On,Oliver Tree,1557433,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
1/21/22,1/28/22,187,Flashing Lights,Kanye West,1553426,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO
1/21/22,1/28/22,188,Right Down the Line,Gerry Rafferty,1553332,https://open.spotify.com/track/2Xb6wJYGi0QXwURw5WWvI5
1/21/22,1/28/22,189,Take My Breath,The Weeknd,1551902,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
1/21/22,1/28/22,190,Everybody Talks,Neon Trees,1549984,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
1/21/22,1/28/22,191,My Kind Of Woman,Mac DeMarco,1546885,https://open.spotify.com/track/4tXzPOr4UaBoA7k7pnpJI1
1/21/22,1/28/22,192,Talking to the Moon,Bruno Mars,1543575,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
1/21/22,1/28/22,193,you broke me first,Tate McRae,1542626,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
1/21/22,1/28/22,194,The Motto,Tiësto,1537911,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
1/21/22,1/28/22,195,Ric Flair Drip (with Metro Boomin),Offset,1536740,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
1/21/22,1/28/22,196,Back In Blood (feat. Lil Durk),Pooh Shiesty,1529528,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
1/21/22,1/28/22,197,Get You (feat. Kali Uchis),Daniel Caesar,1528760,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
1/21/22,1/28/22,198,'Till I Collapse,Eminem,1528391,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
1/21/22,1/28/22,199,Without Me,Eminem,1525069,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
1/21/22,1/28/22,200,Girls Want Girls (with Lil Baby),Drake,1514500,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
1/14/22,1/21/22,1,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,8945491,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
1/14/22,1/21/22,2,pushin P (feat. Young Thug),Gunna,6697046,https://open.spotify.com/track/3LnpBazWpD31QMTn6LgVGv
1/14/22,1/21/22,3,Super Gremlin,Kodak Black,6480616,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
1/14/22,1/21/22,4,Heat Waves,Glass Animals,6217836,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
1/14/22,1/21/22,5,Surface Pressure,Jessica Darrow,6151208,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
