,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
2/4/22,2/11/22,45,Meet Me At Our Spot,THE ANXIETY,2835201,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
2/4/22,2/11/22,46,RAPSTAR,Polo G,2829048,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
2/4/22,2/11/22,47,Smokin Out The Window,Bruno Mars,2800092,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
2/4/22,2/11/22,48,Numb Little Bug,Em Beihold,2792967,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
2/4/22,2/11/22,49,Dos Oruguitas,Sebastian Yatra,2766118,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
2/4/22,2/11/22,50,traitor,Olivia Rodrigo,2751508,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
2/4/22,2/11/22,51,Happier Than Ever,Billie Eilish,2739378,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
2/4/22,2/11/22,52,One Right Now (with The Weeknd),Post Malone,2735942,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
2/4/22,2/11/22,53,Softcore,The Neighbourhood,2673387,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
2/4/22,2/11/22,54,Way 2 Sexy (with Future & Young Thug),Drake,2623107,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
2/4/22,2/11/22,55,20 Min,Lil Uzi Vert,2574021,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
2/4/22,2/11/22,56,Bad Habits,Ed Sheeran,2565530,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
2/4/22,2/11/22,57,Infinity,Jaymes Young,2482122,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
2/4/22,2/11/22,58,Freaks,Surf Curse,2454218,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
2/4/22,2/11/22,59,Pursuit Of Happiness (Nightmare),Kid Cudi,2448784,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
2/4/22,2/11/22,60,Levitating (feat. DaBaby),Dua Lipa,2444850,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
